Restaurant Name,Cusine Served,Longitude,Latitude,Rating,Region,Price For Two
Agarwal Sweets And Dairy,"Chinese, South Indian, North Indian, Fast Food",77.962268,27.182162,3.7,Agra,300
Yo Yo Foods,"Chinese, South Indian, North Indian, Fast Food, Italian",77.98933,27.208387,4,Agra,300
Hungernomia,"Fast Food, Italian",78.00693999999999,27.19923,4.2,Agra,400
Chhabra&#39;s Chicken Corner,North Indian,77.98513100000002,27.188588,3.8,Agra,300
The Masterchef Restaurant,Italian,78.03389199999992,27.160147,4.1,Agra,400
Tealogy,"Fast Food, Beverages",78.00589500000001,27.200498,4.1,Agra,1000
New Vishal Restaurant,North Indian,78.004415,27.210185,3.9,Agra,400
NEW CHETNA STORE PATTIES HUB,Fast Food,78.00491499999998,27.204993,4.4,Agra,1000
The Indian Chaska,"Chinese, North Indian",78.00407100000007,27.199002,3.9,Agra,300
Shri Tirupati No.1 Family Restaurant,South Indian,77.96408999999994,27.189881,3.9,Agra,300
Dosa Plaza,"Chinese, South Indian, North Indian",78.000718,27.207523,4.2,Agra,400
Deep Corner,"Desserts, Fast Food",77.989063,27.176061,4,Agra,300
Food Stock Exchange,"Chinese, North Indian",78.04795000000001,27.157549,4.1,Agra,1000
Freshop,Fast Food,78.00597700000003,27.198653,4,Agra,1000
Twister&#39;s,"North Indian, Chinese",78.00483199999996,27.204652,4,Agra,400
G Thal,North Indian,78.00205699999992,27.211321,3.8,Agra,1000
Cafe Coffee Day,"Cafe, Fast Food",77.99974900000007,27.203466,4.1,Agra,300
Potato Planet,"Fast Food, Mexican",78.00888099999997,27.198782,4,Agra,300
MasterChef Italian Fast Food Corner,"Fast Food, Italian, Beverages",77.99041699999998,27.2119,3.5,Agra,300
Bercos,"Chinese, Thai",78.00137799999993,27.198598,4.4,Agra,400
JUXPUX,"Continental, Fast Food, Italian",78.01171299999999,27.160244,3.8,Agra,300
Mama Momos,"Chinese, Fast Food",78.01150600000005,27.160397,3.7,Agra,1000
Beloved Bakers,"Desserts, Fast Food, Italian",77.99645499999997,27.206047,4.1,Agra,400
Ratan Pizza,"Fast Food, Italian",77.99913600000002,27.204421,4.5,Agra,400
Master Chef,"Chinese, North Indian, Fast Food",77.97930599999995,27.181863,3.9,Agra,400
Gopal Das Pethe Wale,"Desserts, Fast Food",78.00438600000007,27.205096,4.3,Agra,500
Juxpux,"Chinese, Desserts, Fast Food, Beverages",78.00752900539999,27.2014601747,3.7,Agra,300
The Chocolate Room,"Desserts, Fast Food, Italian",77.99905100000001,27.21118,4.2,Agra,400
 Ashoka ,North Indian,77.99778200000003,27.196412,4.2,Agra,400
Manohar Lal Daulat Ram Garg( Gazak Wale),Desserts,78.00147100000004,27.196616,4.4,Agra,400
Ravi Fast Food,"South Indian, Fast Food",78.00446799999997,27.200443,3.9,Agra,1000
MKOP,"Desserts, Fast Food",78.00900690260005,27.1673601067,4.3,Agra,300
Labbaik Chicken Corner,"North Indian, Mughlai",78.00621899999999,27.200605,3.8,Agra,400
Chopstix,Chinese,78.005284,27.201497,4.2,Agra,400
Shan-E-Hind,North Indian,78.01139,27.161193,3.8,Agra,400
Unlimited Pizza,"Fast Food, Italian",78.00104699999997,27.192358,3.3,Agra,400
Fireside Food Station,"Chinese, North Indian, Fast Food, Italian, Punjabi",78.011437,27.158685,3.6,Agra,300
Tirupati&#39;s Dosa Factory,South Indian,78.00100199999997,27.203055,4,Agra,300
Amritsari Tandoori Kulcha Wa Choor Choor Naan,North Indian,78.006129,27.200278,4.3,Agra,1000
New Moon Light Restaurant,North Indian,78.00431200000003,27.199817,4,Agra,1000
Faluda Corner,Desserts,78.00989300000003,27.159483,3.7,Agra,1000
Chef at home,"Desserts, Fast Food",78.00173509870001,27.203024799,3.6,Agra,250
Dasaprakash Restaurant,"South Indian, Desserts, Beverages",78.035702,27.160712,3.9,Agra,300
Sri Dauji Misthan Bhandar,Fast Food,78.00439900000003,27.211248,4.4,Agra,1000
Banarsi Pan,Desserts,78.00148300000001,27.196502,4.4,Agra,1000
New Agarwal Sweet House,"Desserts, Fast Food",77.966995,27.185576,4.2,Agra,300
Goverdhan Bakery,Fast Food,77.98906199999999,27.176469,4.3,Agra,300
Vaishno Bakery,"Desserts, Fast Food",77.99297100000001,27.196859,4,Agra,300
Gianis,Desserts,78.00749700000006,27.201691,3.8,Agra,1000
Mirch Lagi Restaurant,North Indian,78.00488799999994,27.199288,4.1,Agra,1000
Cake &amp; More,"Desserts, Fast Food",78.03458799999999,27.161728,4.3,Agra,1000
Gulati Bar-Be-Que,"North Indian, Punjabi",77.98751700000003,27.188057,3.9,Agra,300
The Star Diner,"Chinese, South Indian, North Indian, Desserts, Fast Food, Beverages",78.01172900000006,27.157487,3.4,Agra,250
Bhole Kona Grill Restaurant,"Chinese, South Indian, North Indian, Desserts",77.97854600000005,27.183692,4.2,Agra,400
Sizzling Salt,"Chinese, North Indian",78.00079600000004,27.207589,4.1,Agra,300
Pankhuri Restaurant,"Chinese, South Indian, North Indian, Continental",77.99185899999998,27.180547,4.1,Agra,400
Hari Chatni,North Indian,78.00276099999996,27.207321,4.2,Agra,400
Vaishno Bhalla House,Fast Food,78.00503600000002,27.17993,4.3,Agra,1000
Hotel Dasaprakash,"South Indian, North Indian",78.03429299999993,27.158369,4,Agra,300
Giani Ice Cream,Desserts,78.01060699999994,27.159525,4,Agra,1000
Girraj Restaurant,North Indian,78.00438899999995,27.19927,3.9,Agra,1000
Cake D&#39;or,Desserts,78.001124,27.203188,3.9,Agra,400
Delhi Darbar,"Chinese, North Indian, Fast Food, Mughlai",78.01565700000003,27.16639,3.7,Agra,300
Jain Confectionery,"Desserts, Fast Food",77.96389699999997,27.189771,4,Agra,1000
Ajanta Sweets,Desserts,78.023779,27.214395,4.2,Agra,1000
RS Crazy Bites,Fast Food,78.00509699999998,27.198989,4.3,Agra,1000
Capri,"South Indian, North Indian, Continental",78.00074799999993,27.198011,3.8,Agra,500
Jawahar Bhojnalya,North Indian,78.00551599999994,27.212452,4,Agra,400
Punjabi Hut,North Indian,77.98801900000001,27.188104,3.7,Agra,400
Social Attitude,"Chinese, North Indian, Continental, Fast Food",77.98719400000004,27.188207,3.6,Agra,300
Om Restaurant,North Indian,78.00485700000002,27.179934,3.7,Agra,250
Tandoori Hut,"North Indian, Chinese",78.034491,27.161787,3.7,Agra,400
Bhawna Palace Hotel,"Chinese, South Indian, North Indian, Desserts",77.98504700000001,27.210594,3.9,Agra,500
Brijwasi Bhojnalaya,"North Indian, Fast Food, Beverages",78.01800800000001,27.167343,3.9,Agra,400
MO Sikander Restaurant,North Indian,77.96721100000002,27.195211,3.9,Agra,300
